t, x, v, a, label

0.0000, 0.0000, 0.0000, 10.0000, ACC
0.1000, 0.0500, 1.0000, 10.0000, ACC
0.2000, 0.2000, 2.0000, 10.0000, ACC
0.3000, 0.4500, 3.0000, 10.0000, ACC
0.4000, 0.8000, 4.0000, 10.0000, ACC
0.5000, 1.2500, 5.0000, 10.0000, ACC
0.6000, 1.8000, 6.0000, 10.0000, ACC
0.7000, 2.4500, 7.0000, 10.0000, ACC
0.8000, 3.2000, 8.0000, 10.0000, ACC
0.9000, 4.0500, 9.0000, 10.0000, ACC
1.0000, 5.0000, 10.0000, 10.0000, ACC
1.1000, 6.0500, 11.0000, 10.0000, ACC
1.2000, 7.2000, 12.0000, 10.0000, ACC
1.3000, 8.4500, 13.0000, 10.0000, ACC
1.4000, 9.8000, 14.0000, 10.0000, ACC
1.5000, 11.2500, 15.0000, 10.0000, ACC
1.6000, 12.8000, 16.0000, 10.0000, ACC
1.7000, 14.4500, 17.0000, 10.0000, ACC
1.8000, 16.2000, 18.0000, 10.0000, ACC
1.9000, 18.0500, 19.0000, 0.0000, CON
2.0000, 19.9500, 19.0000, 0.0000, CON
2.1000, 21.8500, 19.0000, 0.0000, CON
2.2000, 23.7500, 19.0000, 0.0000, CON
2.3000, 25.6500, 19.0000, 0.0000, CON
2.4000, 27.5500, 19.0000, 0.0000, CON
2.5000, 29.4500, 19.0000, 0.0000, CON
2.6000, 31.3500, 19.0000, 0.0000, CON
2.7000, 33.2500, 19.0000, 0.0000, CON
2.8000, 35.1500, 19.0000, 0.0000, CON
2.9000, 37.0500, 19.0000, 0.0000, CON
3.0000, 38.9500, 19.0000, 0.0000, CON
3.1000, 40.8500, 19.0000, 0.0000, CON
3.2000, 42.7500, 19.0000, 0.0000, CON
3.3000, 44.6500, 19.0000, 0.0000, CON
3.4000, 46.5500, 19.0000, 0.0000, CON
3.5000, 48.4500, 19.0000, 0.0000, CON
3.6000, 50.3500, 19.0000, 0.0000, CON
3.7000, 52.2500, 19.0000, 0.0000, CON
3.8000, 54.1500, 19.0000, 0.0000, CON
3.9000, 56.0500, 19.0000, 0.0000, CON
4.0000, 57.9500, 19.0000, 0.0000, CON
4.1000, 59.8500, 19.0000, 0.0000, CON
4.2000, 61.7500, 19.0000, 0.0000, CON
4.3000, 63.6500, 19.0000, 0.0000, CON
4.4000, 65.5500, 19.0000, 0.0000, CON
4.5000, 67.4500, 19.0000, 0.0000, CON
4.6000, 69.3500, 19.0000, 0.0000, CON
4.7000, 71.2500, 19.0000, 0.0000, CON
4.8000, 73.1500, 19.0000, 0.0000, CON
4.9000, 75.0500, 19.0000, 0.0000, CON
5.0000, 76.9500, 19.0000, 0.0000, CON
5.1000, 78.8500, 19.0000, 0.0000, CON
5.2000, 80.7500, 19.0000, 0.0000, CON
5.3000, 82.6500, 19.0000, 0.0000, CON
5.4000, 84.5500, 19.0000, 0.0000, CON
5.5000, 86.4500, 19.0000, 0.0000, CON
5.6000, 88.3500, 19.0000, 0.0000, CON
5.7000, 90.2500, 19.0000, 0.0000, CON
5.8000, 92.1500, 19.0000, -20.0000, DEC
5.9000, 93.9500, 17.0000, -20.0000, DEC
6.0000, 95.5500, 15.0000, -20.0000, DEC
6.1000, 96.9500, 13.0000, -20.0000, DEC
6.2000, 98.1500, 11.0000, -20.0000, DEC
6.3000, 99.1500, 9.0000, -20.0000, DEC
6.4000, 99.9500, 7.0000, -20.0000, DEC
